,$h_f$,$k_f$,$l_f$,$h_s$,$k_s$,$l_s$,$A$ (Å$^2$),$\epsilon$,$E_{bd}$ $(J/m^2)$,$E_{el}$ $(eV/atom)$,$u_{f1}$,$v_{f1}$,$w_{f1}$,$u_{f2}$,$v_{f2}$,$w_{f2}$,$u_{s1}$,$v_{s1}$,$w_{s1}$,$u_{s2}$,$v_{s2}$,$w_{s2}$,$T$,$i_m$,$i_t$
1,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-1.2084366751046451,0,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '2_Ni_Pmmm_1')",0,1
2,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-0.7121900572497363,0,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '4_Ni_Pmmm_1')",0,3
0,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-0.17488618017714946,0,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '1_Ni_Pmmm_1')",0,0
