,$h_f$,$k_f$,$l_f$,$h_s$,$k_s$,$l_s$,$A$ (Å$^2$),$\epsilon$,$E_{it}$ $(J/m^2)$,$E_{el}$ $(eV/atom)$,$u_{f1}$,$v_{f1}$,$w_{f1}$,$u_{f2}$,$v_{f2}$,$w_{f2}$,$u_{s1}$,$v_{s1}$,$w_{s1}$,$u_{s2}$,$v_{s2}$,$w_{s2}$,$T$,$i_m$,$i_t$
2,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,0.7657823213215098,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '3_Ni_P4/mmm_1')",0,2
4,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,0.779688313734456,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '2_NiS_Pmm2_2')",0,4
3,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.0352696966056691,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '1_NiS_Pmm2_2')",0,3
0,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.043875839597506,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '1_NiS_Pmm2_2')",0,0
1,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.7556204152974046,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '2_NiS_Pmm2_2')",0,1
