,$h_f$,$k_f$,$l_f$,$h_s$,$k_s$,$l_s$,$A$ (Å$^2$),$\epsilon$,$E_{it}$ $(J/m^2)$,$E_{el}$ $(eV/atom)$,$u_{f1}$,$v_{f1}$,$w_{f1}$,$u_{f2}$,$v_{f2}$,$w_{f2}$,$u_{s1}$,$v_{s1}$,$w_{s1}$,$u_{s2}$,$v_{s2}$,$w_{s2}$,$T$,$i_m$,$i_t$
3,-1,0,0,1,0,1,16.666732444444442,0.009527181396691252,0.7169025,0,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '2_NiS_Pmm2_2')",0,4
1,-1,0,0,1,0,1,16.666732444444442,0.009527181396691252,0.7180026,0,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '3_Ni_P4/mmm_1')",0,2
0,-1,0,0,1,0,1,16.666732444444442,0.009527181396691252,0.96829164,0,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '1_NiS_Pmm2_2')",0,0
2,-1,0,0,1,0,1,16.666732444444442,0.009527181396691252,0.9683796,0,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '1_NiS_Pmm2_2')",0,3
